category,total_orders,late_orders,late_rate_pct,avg_review_score
"audio",363,42,11.6,3.83
"christmas_supplies",150,15,10.0,4.07
"fashion_underwear_beach",127,12,9.4,4.05
"home_confort",432,40,9.3,3.85
"office_furniture",1678,134,8.0,3.52
"books_technical",265,21,7.9,4.39
"baby",2990,229,7.7,4.08
"health_beauty",9519,720,7.6,4.19
"electronics",2730,207,7.6,4.07
"musical_instruments",652,48,7.4,4.22
